Date;Lat;Lon;Dep;Mag;Place
2015.12.07;40.7068;27.4312;010.3;3.7;GUZELKOY ACIKLARI-TEKIRDAG (MARMARA DENIZI)
2015.12.06;38.8560;43.5170;005.0;3.8;ERMISLER- (VAN) [South East 1.3 km]
2015.12.05;40.4437;29.0663;013.2;3.7;GEMLIK KORFEZI (MARMARA DENIZI)
2015.12.04;39.2595;40.2080;005.0;4.2;ACIKGUNEY-KIGI (BINGOL) [ 1.23 km]
2015.12.04;39.2683;40.2203;005.0;4.3;ACIKGUNEY-KIGI (BINGOL) [North 0.5 km]
2015.12.03;39.3003;40.1918;005.0;3.9;SABIRTASI-KIGI (BINGOL) [ 1.48 km]
2015.12.03;39.2848;40.2395;005.0;3.6;YAZGUNU-KIGI (BINGOL) [ 2.18 km]
2015.12.03;39.2670;40.2145;001.1;3.9;ACIKGUNEY-KIGI (BINGOL) [North West 0.6 km]
2015.12.02;39.2712;40.2250;004.0;3.6;ACIKGUNEY-KIGI (BINGOL) [North East 0.9 km]
2015.12.02;39.2815;40.2353;005.0;5.5;YAZGUNU-KIGI (BINGOL) [North West 2.1 km]
2015.12.02;39.1490;28.1465;015.9;3.9;SINANDEDE-SINDIRGI (BALIKESIR) [South 2.7 km]
2015.12.01;38.8150;37.8318;001.2;3.6;DURSUNLU-HEKIMHAN (MALATYA) [West 1.5 km]
2015.11.29;38.8378;37.8333;005.0;3.6;SARIKIZ-HEKIMHAN (MALATYA) [South West 1.2 km]
2015.11.29;38.9933;44.3023;005.0;3.5;BAYDOGAN-CALDIRAN (VAN) [South East 13.9 km]
2015.11.29;38.8282;37.8485;007.1;5.1;DURSUNLU-HEKIMHAN (MALATYA) [North 1.5 km]
2015.11.23;37.4023;31.3743;011.6;3.7;PINARBASI-DEREBUCAK (KONYA) [West 5.6 km]
2015.11.21;35.3395;26.7750;009.8;3.9;GIRIT ADASI (AKDENIZ)
2015.11.18;37.8175;29.3127;008.2;4.3;KOCABAS-HONAZ (DENIZLI) [North West 1.8 km]
2015.11.16;40.8315;28.7535;012.6;4.2;MARMARA DENIZI
2015.11.16;39.1977;28.6715;005.5;3.8;SARIKAYA-SIMAV (KUTAHYA) [South West 3.0 km]
2015.11.14;38.1762;38.9478;007.4;3.5;ORNEKKOY-PUTURGE (MALATYA) [South East 3.5 km]
2015.11.12;38.2553;42.5757;010.2;3.9;YUMRUKAYA-TATVAN (BITLIS) [ 2.21 km]
2015.11.10;35.9832;31.6830;010.9;3.7;AKDENIZ
2015.11.10;35.0367;32.0865;007.9;3.9;AKDENIZ
2015.11.10;37.2928;38.6443;007.7;3.7;BALTAS-BOZOVA (SANLIURFA) [North East 1.2 km]
2015.11.09;35.0495;26.6935;005.0;3.5;GIRIT ADASI ACIKLARI (AKDENIZ)
2015.11.09;38.5292;26.3687;014.3;3.9;KUCUKBAHCE-KARABURUN (IZMIR) [South West 3.9 km]
2015.11.08;37.2360;31.3413;005.0;3.6;DUZAGAC-MANAVGAT (ANTALYA) [East 7.5 km]
2015.11.08;41.7442;31.9220;008.0;3.5;TURKALI ACIKLARI-ZONGULDAK (KARADENIZ)
2015.11.05;40.3543;27.3995;013.5;3.9;BOZLAR-BIGA (CANAKKALE) [North East 5.2 km]
2015.11.03;37.1823;28.7023;009.0;3.7;TURGUT-ULA (MUGLA) [ 2.13 km]
2015.11.01;40.7247;32.8583;002.4;3.5;YAKUPLAR-CERKES (CANKIRI) [ 1.08 km]
2015.10.31;35.0135;26.6737;002.5;3.6;GIRIT ADASI ACIKLARI (AKDENIZ)
